GeneNames,ExtraTreesRegressor,RandomForestRegressor,AdaBoostRegressor,XGBRegressor,SVR,LassoRegression,RidgeRegression,Average
ASAP2,0.9558372881,0.6238866462,0.1478625028,0.4922674596309662,0.5772316576,0.0,0.580010274,0.4824422612
STX11,0.1077472649,0.0,0.7628737404,0.10529391467571259,1.0,0.0,1.0,0.4251307029
MGAT2,0.8686031858,0.7477751291,0.4172240539,0.07416528463363647,0.18521399,0.0,0.1661923585,0.3513105717
LARGE1,0.8520673728,0.0,0.0,1.0,0.3182546391,0.0,0.2820386926,0.3503372435
SRP19,0.5972069147,1.0,0.0,0.03076223097741604,0.4054962467,0.0,0.3799347898,0.3447714546
SNAP25,0.2442580766,0.844931005,0.0942650256,0.00044381810585036874,0.6133383982,0.0,0.6088312169,0.3437239343
EIF2AK3,0.6294020138,0.8334055134,0.2661696578,0.0,0.2422194303,0.0,0.2232148357,0.3134873501
RAB38,0.7096876659,0.5971254328,0.0,0.0003264221886638552,0.4408772085,0.0,0.4287636633,0.3109686275
ERO1A,0.6975335235,0.1170181036,0.0,2.8325799576123245e-05,0.6576917391,0.0,0.653496245,0.3036811339
STX1B,0.3202368074,0.305285002,0.0,0.03281480073928833,0.714078113,0.0,0.6775161974,0.2928472744
YOD1,0.0,0.0821252784,0.0,3.2599999144622416e-07,0.9854684978,0.0,0.9560649432,0.2890941493
PIK3CA,0.6488308928,0.0,0.0465834934,0.0,0.6141496008,0.0,0.5976690064,0.2724618562
UBXN2A,0.1338289566,0.0,1.0,6.630569987464696e-05,0.3624098728,0.0,0.364634275,0.2658484872
TMED8,0.4351932294,0.5133385548,0.0,0.021108975633978844,0.4453708593,0.0,0.4245935981,0.2628007453
SRP54,0.3751123303,0.7598996264,0.0,0.4743049740791321,0.1125182733,0.0,0.1035156007,0.2607644007
BAG1,0.8093817597,0.3224455972,0.0,0.00015138060552999377,0.3037414479,0.0,0.2830094311,0.2455328024
TBC1D1,0.1383762207,0.3570916242,0.0,0.0002967909967992455,0.6275884294,0.0,0.5768387871,0.2428845503
FBXO6,0.4448417147,0.0,0.045166116,0.6311290264129639,0.2690322618,0.0,0.2720280418,0.2374567372
DNAJC6,0.1537374918,0.3081210997,0.0,0.0,0.6087818947,0.0,0.5854146822,0.2365793098
ARF4,0.3121783674,0.0630638908,0.0154716264,0.0,0.614721209,0.0,0.6000232449,0.2293511912
RAB23,0.0,0.0,0.0,0.0,0.7881934984,0.0,0.7773685979,0.223651728
ARFGAP1,1.0,0.0,0.1708231305,0.0,0.2092870199,0.0,0.1749407241,0.2221501249
MAN1A1,0.0,0.0,0.3359576472,0.0,0.6122730722,0.0,0.5580987639,0.2151899262
GALNT3,0.1694667349,0.015343497,0.0,0.0,0.6296408071,0.0,0.6057318782,0.2028832739
SYTL2,0.0,0.2596628541,0.0,0.0,0.5371764792,0.0,0.555307357,0.1931638129
TRAPPC2,0.51035896,0.078977492,0.3757095018,0.0,0.1743637001,0.0,0.1857675937,0.1893110354
LARGE2,0.1888239127,0.0,0.0,0.0,0.582411716,0.0,0.5339289392,0.1864520811
DERL3,0.3706233709,0.1640655565,0.0,0.0,0.3915842203,0.0,0.361661154,0.1839906145
HSPA6,0.0,0.0971168526,0.0,0.00459140632301569,0.5770349091,0.0,0.5880971041,0.1809771817
RAB5A,0.2393507766,0.0,0.6002145782,0.00032156819361262023,0.2158352259,0.0,0.2097847692,0.1807867026
GMCL1,0.0,0.1330714244,0.0403091413,0.0,0.5647259693,0.0,0.5241692381,0.1803251104
RAB36,0.0,0.0517806786,0.2999088194,0.0,0.4497568093,0.0,0.4426376535,0.1777262801
GXYLT2,0.0181015405,0.0,0.3003002561,0.05402374267578125,0.4268841144,0.0,0.4397301126,0.1770056809
RFT1,0.3142144115,0.2307659923,0.0,0.0,0.336961736,0.0,0.3075845095,0.1699323785
PIGP,0.5107528756,0.0,0.0,0.0,0.3339079419,0.0,0.3321830048,0.168120546
ARAP1,0.4264965261,0.0,0.0144674459,0.0,0.36259215,0.0,0.3602657581,0.1662602686
HSPA1B,0.058183523,0.0,0.4878153638,8.503000117343618e-07,0.2917568362,0.0,0.2884640495,0.1608886604
MGAT3,0.2190473263,0.0181325875,0.0296783002,0.0,0.4445346461,0.0,0.4067828511,0.1597393873
LMAN1,0.3827394087,0.0,0.1073312305,0.0,0.311579018,0.0,0.3114313207,0.1590115683
GALNT1,0.5020694001,0.0,0.0,9.100249735638499e-05,0.3099637007,0.0,0.2969349681,0.1584370102
SGSM1,0.4176951499,0.0,0.081271871,0.09198477119207382,0.2643011275,0.0,0.2493065634,0.1577942119
GLT8D1,0.0,0.0,0.0,0.002872328506782651,0.5491664646,0.0,0.5305685708,0.1546581948
GLT8D2,0.5771948003,0.0,0.0,0.000396446994272992,0.2616560472,0.0,0.2427333467,0.154568663
RAB40A,0.3168458341,0.0325311728,0.0,0.002235547173768282,0.3738996998,0.0,0.3544784032,0.1542843796
BAG2,0.0,0.0,0.0,0.0,0.5559831928,0.0,0.5159664498,0.1531356632
STX5,0.1220345216,0.0381184801,0.0,0.0,0.4714502791,0.0,0.4396422877,0.1530350812
USP6NL,0.2832185834,0.2573063959,0.0813763918,0.0,0.2223166068,0.0,0.2241908909,0.1526298384
